序号,时间(s),电压,阻抗
1285,161.894,-0.2709846500679601,7044.087891
1286,162.02,-0.19383651554180448,7042.100586
1287,162.146,-0.13386361778941236,7047.862305
1288,162.271,-0.06998428572159138,7046.946777
1289,162.399,-0.030909068046501564,7045.388672
1290,162.524,-0.00535699706628792,7045.494141
1291,162.65,-0.0012458480989611667,7050.181641
1292,162.776,-0.009146488536135382,7045.260742
1293,162.901,-0.03058689013958068,7044.579102
1294,163.028,-0.028819248414523733,7045.230469
1295,163.154,-0.03628032329140144,7047.214844
1296,163.279,-0.013218445772808646,7049.202148
1297,163.405,-0.008194208794427713,7044.812988
1298,163.532,0.014212646578392855,7047.574219
1299,163.659,-0.0020732866359616546,7047.668945
1300,163.784,-0.025499026665936817,7048.374023
1301,163.91,-0.08449970920226227,7046.506348
1302,164.036,-0.13933839614263419,7049.666016
1303,164.162,-0.18051695375278307,7048.115234
1304,164.288,-0.19887600468547265,7046.664063
1305,164.414,-0.20054667352245775,7047.259277
1306,164.54,-0.1788377831450224,7050.760254
1307,164.665,-0.13439889926752613,7047.666992
1308,164.791,-0.0870927155827088,7045.984863
1309,164.918,-0.043022256357866745,7047.149902
1310,165.044,0.00915111089784961,7042.991699
1311,165.17,0.048938337142508115,7043.578125
1312,165.295,0.07894033361297963,7043.013672
1313,165.422,0.0830020430931936,7045.019043
1314,165.548,0.06329255950172805,7045.147461
1315,165.673,0.029144389460494816,7045.76416
1316,165.8,-0.03256334035431607,7041.166504
1317,165.925,-0.09302623379889353,7045.53125
1318,166.051,-0.15510447939744268,7047.750488
1319,166.178,-0.20724727928956335,7043.433105
1320,166.304,-0.22806514158448937,7045.082031
1321,166.43,-0.2303050580630993,7044.181641
1322,166.555,-0.20733264348155991,7047.177734
1323,166.682,-0.17158190056448192,7044.892578
1324,166.807,-0.11718783771487246,7047.510742
1325,166.933,-0.06134924110758296,7050.00293
1326,167.06,-0.010490303029517993,7050.70459
1327,167.185,0.017420840747250477,7064.78125
1328,167.312,0.028510317822357467,7054.78125
1329,167.437,0.01739307032561023,7062.180664
1330,167.563,-0.021302847335250032,7066.166992
1331,167.689,-0.08192004960068489,7069.237793
1332,167.815,-0.1302564769740517,7093.129883
1333,167.943,-0.17615542885584226,7094.496094
1334,168.067,-0.19686114830387427,7102.621582
1335,168.193,-0.2127550369244117,7104.477539
1336,168.32,-0.19856342228146676,7127.726563
1337,168.445,-0.1800069094851243,7105.391113
1338,168.572,-0.16097405418000532,7111.117676
1339,168.697,-0.1428085769231457,7112.484375
1340,168.824,-0.11936642352716324,7111.386719
1341,168.949,-0.10647819824388371,7107.134277
1342,169.075,-0.10024450170531841,7110.68457
1343,169.202,-0.08424264162260621,7110.935547
1344,169.328,-0.06854903345663524,7113.144043
1345,169.453,-0.03659144147516223,7114.415039
1346,169.579,-0.004706602812618098,7109.619629
1347,169.706,0.02971443343735267,7103.952637
1348,169.831,0.062219372996192346,7109.843262
1349,169.957,0.0678812140753408,7109.381836
1350,170.083,0.07104705312855818,7107.046875
1351,170.209,0.0395243136796529,7100.351563
1352,170.335,-0.0072278295943917865,7115.277832
1353,170.462,-0.06107439198806888,7111.415527
1354,170.588,-0.10525615974238689,7106.303711
1355,170.713,-0.15288489568891522,7109.138184
1356,170.839,-0.17173818302682722,7107.479492
1357,170.965,-0.1843671228253479,7104.180176
1358,171.091,-0.18291894625391067,7106.8125
1359,171.218,-0.15709728226166084,7108.057129
1360,171.343,-0.11636675532502269,7108.467285
